Country Name,Country Code,Indicator Name,Indicator Code,y2010
Afghanistan,AFG,Life expectancy at birth total (years),SP.DYN.LE00.IN,48.28219512
Albania,ALB,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.90095122
Algeria,DZA,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.85253659
American Samoa,ASM,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Andorra,ADO,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Angola,AGO,Life expectancy at birth total (years),SP.DYN.LE00.IN,50.65365854
Antigua and Barbuda,ATG,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Arab World,ARB,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.37668898
Argentina,ARG,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.63214634
Armenia,ARM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.78356098
Aruba,ABW,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.97517073
Australia,AUS,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.69512195
Austria,AUT,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.38292683
Azerbaijan,AZE,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.5065122
Bahamas The,BHS,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.22212195
Bahrain,BHR,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.02382927
Bangladesh,BGD,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.63480488
Barbados,BRB,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.57282927
Belarus,BLR,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.40487805
Belgium,BEL,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.93658537
Belize,BLZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.83995122
Benin,BEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,55.58558537
Bermuda,BMU,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.28853659
Bhutan,BTN,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.90885366
Bolivia,BOL,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.26856098
Bosnia and Herzegovina,BIH,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.40043902
Botswana,BWA,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.1095122
Brazil,BRA,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.09953659
Brunei Darussalam,BRN,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.93202439
Bulgaria,BGR,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.51219512
Burkina Faso,BFA,Life expectancy at birth total (years),SP.DYN.LE00.IN,54.92419512
Burundi,BDI,Life expectancy at birth total (years),SP.DYN.LE00.IN,49.87721951
Cambodia,KHM,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.53621951
Cameroon,CMR,Life expectancy at birth total (years),SP.DYN.LE00.IN,51.0627561
Canada,CAN,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.79780488
Cape Verde,CPV,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.77404878
Caribbean small states,CSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.15779044
Cayman Islands,CYM,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Central African Republic,CAF,Life expectancy at birth total (years),SP.DYN.LE00.IN,47.61846341
Chad,TCD,Life expectancy at birth total (years),SP.DYN.LE00.IN,49.19482927
Channel Islands,CHI,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.832
Chile,CHL,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.88573171
China,CHN,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.27309756
Colombia,COL,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.42968293
Comoros,COM,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.62626829
Congo Dem. Rep.,ZAR,Life expectancy at birth total (years),SP.DYN.LE00.IN,48.06958537
Congo Rep.,COG,Life expectancy at birth total (years),SP.DYN.LE00.IN,56.96019512
Costa Rica,CRI,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.19260976
Cote dIvoire,CIV,Life expectancy at birth total (years),SP.DYN.LE00.IN,54.74156098
Croatia,HRV,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.47560976
Cuba,CUB,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.96414634
Curacao,CUW,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Cyprus,CYP,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.38039024
Czech Republic,CZE,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.42439024
Denmark,DNK,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.1
Djibouti,DJI,Life expectancy at birth total (years),SP.DYN.LE00.IN,57.52739024
Dominica,DMA,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Dominican Republic,DOM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.20002439
East Asia & Pacific (all income levels),EAS,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.25278702
East Asia & Pacific (developing only),EAP,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.18979793
Ecuador,ECU,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.46229268
Egypt Arab Rep.,EGY,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.97526829
El Salvador,SLV,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.73236585
Equatorial Guinea,GNQ,Life expectancy at birth total (years),SP.DYN.LE00.IN,50.84080488
Eritrea,ERI,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.99419512
Estonia,EST,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.42926829
Ethiopia,ETH,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.71509756
Euro area,EMU,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.73137673
Europe & Central Asia (all income levels),ECS,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.74558845
Europe & Central Asia (developing only),ECA,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.52309701
European Union,EUU,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.64613393
Faeroe Islands,FRO,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Fiji,FJI,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.22582927
Finland,FIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.87073171
France,FRA,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.36829268
French Polynesia,PYF,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.07687805
Gabon,GAB,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.28668293
Gambia The,GMB,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.16002439
Georgia,GEO,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.32734146
Germany,DEU,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.98780488
Ghana,GHA,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.83726829
Greece,GRC,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.38780488
Greenland,GRL,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Grenada,GRD,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.66043902
Guam,GUM,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.99426829
Guatemala,GTM,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.82541463
Guinea,GIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.63858537
